Notes,Year,Year Code,County,County Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,2002,2002,"Barron County, WI",55005,Heroin,T40.1,Suppressed,38794,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Barron County, WI",55005,Other opioids,T40.2,Suppressed,38794,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Barron County, WI",55005,Methadone,T40.3,Suppressed,38794,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Barron County, WI",55005,Other synthetic narcotics,T40.4,Suppressed,38794,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Barron County, WI",55005,Other and unspecified narcotics,T40.6,Suppressed,38794,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Bayfield County, WI",55007,Opium,T40.0,Suppressed,13079,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Bayfield County, WI",55007,Heroin,T40.1,Suppressed,13079,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Bayfield County, WI",55007,Other opioids,T40.2,Suppressed,13079,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Bayfield County, WI",55007,Methadone,T40.3,Suppressed,13079,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Bayfield County, WI",55007,Other synthetic narcotics,T40.4,Suppressed,13079,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Bayfield County, WI",55007,Other and unspecified narcotics,T40.6,Suppressed,13079,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Brown County, WI",55009,Opium,T40.0,Suppressed,192097,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Brown County, WI",55009,Heroin,T40.1,Suppressed,192097,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Brown County, WI",55009,Other opioids,T40.2,Suppressed,192097,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Brown County, WI",55009,Methadone,T40.3,Suppressed,192097,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Brown County, WI",55009,Other synthetic narcotics,T40.4,Suppressed,192097,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Brown County, WI",55009,Other and unspecified narcotics,T40.6,Suppressed,192097,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Buffalo County, WI",55011,Opium,T40.0,Suppressed,11686,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Buffalo County, WI",55011,Heroin,T40.1,Suppressed,11686,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Buffalo County, WI",55011,Other opioids,T40.2,Suppressed,11686,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Buffalo County, WI",55011,Methadone,T40.3,Suppressed,11686,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Buffalo County, WI",55011,Other synthetic narcotics,T40.4,Suppressed,11686,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Buffalo County, WI",55011,Other and unspecified narcotics,T40.6,Suppressed,11686,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Burnett County, WI",55013,Opium,T40.0,Suppressed,13823,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Burnett County, WI",55013,Heroin,T40.1,Suppressed,13823,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Burnett County, WI",55013,Other opioids,T40.2,Suppressed,13823,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Burnett County, WI",55013,Methadone,T40.3,Suppressed,13823,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Burnett County, WI",55013,Other synthetic narcotics,T40.4,Suppressed,13823,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Burnett County, WI",55013,Other and unspecified narcotics,T40.6,Suppressed,13823,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Calumet County, WI",55015,Opium,T40.0,Suppressed,35566,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Calumet County, WI",55015,Heroin,T40.1,Suppressed,35566,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Calumet County, WI",55015,Other opioids,T40.2,Suppressed,35566,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Calumet County, WI",55015,Methadone,T40.3,Suppressed,35566,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Calumet County, WI",55015,Other synthetic narcotics,T40.4,Suppressed,35566,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Calumet County, WI",55015,Other and unspecified narcotics,T40.6,Suppressed,35566,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Chippewa County, WI",55017,Opium,T40.0,Suppressed,47277,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Chippewa County, WI",55017,Heroin,T40.1,Suppressed,47277,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Chippewa County, WI",55017,Other opioids,T40.2,Suppressed,47277,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Chippewa County, WI",55017,Methadone,T40.3,Suppressed,47277,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Chippewa County, WI",55017,Other synthetic narcotics,T40.4,Suppressed,47277,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Chippewa County, WI",55017,Other and unspecified narcotics,T40.6,Suppressed,47277,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Clark County, WI",55019,Opium,T40.0,Suppressed,27575,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Clark County, WI",55019,Heroin,T40.1,Suppressed,27575,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Clark County, WI",55019,Other opioids,T40.2,Suppressed,27575,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Clark County, WI",55019,Methadone,T40.3,Suppressed,27575,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Clark County, WI",55019,Other synthetic narcotics,T40.4,Suppressed,27575,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Clark County, WI",55019,Other and unspecified narcotics,T40.6,Suppressed,27575,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Columbia County, WI",55021,Opium,T40.0,Suppressed,45267,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Columbia County, WI",55021,Heroin,T40.1,Suppressed,45267,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Columbia County, WI",55021,Other opioids,T40.2,Suppressed,45267,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Columbia County, WI",55021,Methadone,T40.3,Suppressed,45267,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Columbia County, WI",55021,Other synthetic narcotics,T40.4,Suppressed,45267,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Columbia County, WI",55021,Other and unspecified narcotics,T40.6,Suppressed,45267,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Crawford County, WI",55023,Opium,T40.0,Suppressed,14447,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Crawford County, WI",55023,Heroin,T40.1,Suppressed,14447,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Crawford County, WI",55023,Other opioids,T40.2,Suppressed,14447,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Crawford County, WI",55023,Methadone,T40.3,Suppressed,14447,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Crawford County, WI",55023,Other synthetic narcotics,T40.4,Suppressed,14447,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Crawford County, WI",55023,Other and unspecified narcotics,T40.6,Suppressed,14447,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dane County, WI",55025,Opium,T40.0,Suppressed,377135,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dane County, WI",55025,Heroin,T40.1,Suppressed,377135,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dane County, WI",55025,Other opioids,T40.2,12,377135,Unreliable,1.64,5.56,0.92,0.11%
,2002,2002,"Dane County, WI",55025,Methadone,T40.3,Suppressed,377135,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dane County, WI",55025,Other synthetic narcotics,T40.4,Suppressed,377135,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dane County, WI",55025,Other and unspecified narcotics,T40.6,Suppressed,377135,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dodge County, WI",55027,Opium,T40.0,Suppressed,73877,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dodge County, WI",55027,Heroin,T40.1,Suppressed,73877,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dodge County, WI",55027,Other opioids,T40.2,Suppressed,73877,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dodge County, WI",55027,Methadone,T40.3,Suppressed,73877,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dodge County, WI",55027,Other synthetic narcotics,T40.4,Suppressed,73877,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dodge County, WI",55027,Other and unspecified narcotics,T40.6,Suppressed,73877,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Door County, WI",55029,Opium,T40.0,Suppressed,24663,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Door County, WI",55029,Heroin,T40.1,Suppressed,24663,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Door County, WI",55029,Other opioids,T40.2,Suppressed,24663,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Door County, WI",55029,Methadone,T40.3,Suppressed,24663,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Door County, WI",55029,Other synthetic narcotics,T40.4,Suppressed,24663,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Door County, WI",55029,Other and unspecified narcotics,T40.6,Suppressed,24663,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Douglas County, WI",55031,Opium,T40.0,Suppressed,37166,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Douglas County, WI",55031,Heroin,T40.1,Suppressed,37166,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Douglas County, WI",55031,Other opioids,T40.2,Suppressed,37166,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Douglas County, WI",55031,Methadone,T40.3,Suppressed,37166,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Douglas County, WI",55031,Other synthetic narcotics,T40.4,Suppressed,37166,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Douglas County, WI",55031,Other and unspecified narcotics,T40.6,Suppressed,37166,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dunn County, WI",55033,Opium,T40.0,Suppressed,35235,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dunn County, WI",55033,Heroin,T40.1,Suppressed,35235,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dunn County, WI",55033,Other opioids,T40.2,Suppressed,35235,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dunn County, WI",55033,Methadone,T40.3,Suppressed,35235,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dunn County, WI",55033,Other synthetic narcotics,T40.4,Suppressed,35235,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Dunn County, WI",55033,Other and unspecified narcotics,T40.6,Suppressed,35235,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Eau Claire County, WI",55035,Opium,T40.0,Suppressed,80695,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Eau Claire County, WI",55035,Heroin,T40.1,Suppressed,80695,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Eau Claire County, WI",55035,Other opioids,T40.2,Suppressed,80695,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Eau Claire County, WI",55035,Methadone,T40.3,Suppressed,80695,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Eau Claire County, WI",55035,Other synthetic narcotics,T40.4,Suppressed,80695,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Eau Claire County, WI",55035,Other and unspecified narcotics,T40.6,Suppressed,80695,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Florence County, WI",55037,Opium,T40.0,Suppressed,4413,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Florence County, WI",55037,Heroin,T40.1,Suppressed,4413,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Florence County, WI",55037,Other opioids,T40.2,Suppressed,4413,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Florence County, WI",55037,Methadone,T40.3,Suppressed,4413,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Florence County, WI",55037,Other synthetic narcotics,T40.4,Suppressed,4413,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Florence County, WI",55037,Other and unspecified narcotics,T40.6,Suppressed,4413,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Fond du Lac County, WI",55039,Opium,T40.0,Suppressed,83099,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Fond du Lac County, WI",55039,Heroin,T40.1,Suppressed,83099,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Fond du Lac County, WI",55039,Other opioids,T40.2,Suppressed,83099,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Fond du Lac County, WI",55039,Methadone,T40.3,Suppressed,83099,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Fond du Lac County, WI",55039,Other synthetic narcotics,T40.4,Suppressed,83099,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Fond du Lac County, WI",55039,Other and unspecified narcotics,T40.6,Suppressed,83099,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Forest County, WI",55041,Opium,T40.0,Suppressed,8488,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Forest County, WI",55041,Heroin,T40.1,Suppressed,8488,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Forest County, WI",55041,Other opioids,T40.2,Suppressed,8488,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Forest County, WI",55041,Methadone,T40.3,Suppressed,8488,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Forest County, WI",55041,Other synthetic narcotics,T40.4,Suppressed,8488,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Forest County, WI",55041,Other and unspecified narcotics,T40.6,Suppressed,8488,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Grant County, WI",55043,Opium,T40.0,Suppressed,42766,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Grant County, WI",55043,Heroin,T40.1,Suppressed,42766,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Grant County, WI",55043,Other opioids,T40.2,Suppressed,42766,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Grant County, WI",55043,Methadone,T40.3,Suppressed,42766,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Grant County, WI",55043,Other synthetic narcotics,T40.4,Suppressed,42766,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Grant County, WI",55043,Other and unspecified narcotics,T40.6,Suppressed,42766,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green County, WI",55045,Opium,T40.0,Suppressed,28530,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green County, WI",55045,Heroin,T40.1,Suppressed,28530,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green County, WI",55045,Other opioids,T40.2,Suppressed,28530,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green County, WI",55045,Methadone,T40.3,Suppressed,28530,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green County, WI",55045,Other synthetic narcotics,T40.4,Suppressed,28530,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green County, WI",55045,Other and unspecified narcotics,T40.6,Suppressed,28530,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green Lake County, WI",55047,Opium,T40.0,Suppressed,16486,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green Lake County, WI",55047,Heroin,T40.1,Suppressed,16486,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green Lake County, WI",55047,Other opioids,T40.2,Suppressed,16486,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green Lake County, WI",55047,Methadone,T40.3,Suppressed,16486,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green Lake County, WI",55047,Other synthetic narcotics,T40.4,Suppressed,16486,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Green Lake County, WI",55047,Other and unspecified narcotics,T40.6,Suppressed,16486,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iowa County, WI",55049,Opium,T40.0,Suppressed,19126,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iowa County, WI",55049,Heroin,T40.1,Suppressed,19126,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iowa County, WI",55049,Other opioids,T40.2,Suppressed,19126,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iowa County, WI",55049,Methadone,T40.3,Suppressed,19126,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iowa County, WI",55049,Other synthetic narcotics,T40.4,Suppressed,19126,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iowa County, WI",55049,Other and unspecified narcotics,T40.6,Suppressed,19126,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iron County, WI",55051,Opium,T40.0,Suppressed,5943,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iron County, WI",55051,Heroin,T40.1,Suppressed,5943,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iron County, WI",55051,Other opioids,T40.2,Suppressed,5943,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iron County, WI",55051,Methadone,T40.3,Suppressed,5943,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iron County, WI",55051,Other synthetic narcotics,T40.4,Suppressed,5943,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Iron County, WI",55051,Other and unspecified narcotics,T40.6,Suppressed,5943,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jackson County, WI",55053,Opium,T40.0,Suppressed,16584,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jackson County, WI",55053,Heroin,T40.1,Suppressed,16584,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jackson County, WI",55053,Other opioids,T40.2,Suppressed,16584,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jackson County, WI",55053,Methadone,T40.3,Suppressed,16584,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jackson County, WI",55053,Other synthetic narcotics,T40.4,Suppressed,16584,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jackson County, WI",55053,Other and unspecified narcotics,T40.6,Suppressed,16584,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jefferson County, WI",55055,Opium,T40.0,Suppressed,65374,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jefferson County, WI",55055,Heroin,T40.1,Suppressed,65374,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jefferson County, WI",55055,Other opioids,T40.2,Suppressed,65374,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jefferson County, WI",55055,Methadone,T40.3,Suppressed,65374,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jefferson County, WI",55055,Other synthetic narcotics,T40.4,Suppressed,65374,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Jefferson County, WI",55055,Other and unspecified narcotics,T40.6,Suppressed,65374,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Juneau County, WI",55057,Opium,T40.0,Suppressed,21252,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Juneau County, WI",55057,Heroin,T40.1,Suppressed,21252,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Juneau County, WI",55057,Other opioids,T40.2,Suppressed,21252,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Juneau County, WI",55057,Methadone,T40.3,Suppressed,21252,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Juneau County, WI",55057,Other synthetic narcotics,T40.4,Suppressed,21252,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Juneau County, WI",55057,Other and unspecified narcotics,T40.6,Suppressed,21252,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kenosha County, WI",55059,Opium,T40.0,Suppressed,126961,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kenosha County, WI",55059,Heroin,T40.1,Suppressed,126961,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kenosha County, WI",55059,Other opioids,T40.2,Suppressed,126961,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kenosha County, WI",55059,Methadone,T40.3,Suppressed,126961,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kenosha County, WI",55059,Other synthetic narcotics,T40.4,Suppressed,126961,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kenosha County, WI",55059,Other and unspecified narcotics,T40.6,Suppressed,126961,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kewaunee County, WI",55061,Opium,T40.0,Suppressed,17274,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kewaunee County, WI",55061,Heroin,T40.1,Suppressed,17274,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kewaunee County, WI",55061,Other opioids,T40.2,Suppressed,17274,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kewaunee County, WI",55061,Methadone,T40.3,Suppressed,17274,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kewaunee County, WI",55061,Other synthetic narcotics,T40.4,Suppressed,17274,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Kewaunee County, WI",55061,Other and unspecified narcotics,T40.6,Suppressed,17274,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"La Crosse County, WI",55063,Opium,T40.0,Suppressed,92415,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"La Crosse County, WI",55063,Heroin,T40.1,Suppressed,92415,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"La Crosse County, WI",55063,Other opioids,T40.2,Suppressed,92415,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"La Crosse County, WI",55063,Methadone,T40.3,Suppressed,92415,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"La Crosse County, WI",55063,Other synthetic narcotics,T40.4,Suppressed,92415,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"La Crosse County, WI",55063,Other and unspecified narcotics,T40.6,Suppressed,92415,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,2002,2002,"Lafayette County, WI",55065,Opium,T40.0,Suppressed,13752,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
